section,slug,description,var_2019,label_2019,var_2021,label_2021,var_2023,label_2023,var_2025,label_2025,var_trended,label_trended
QUESTIONS,,,,,,,,,,,,
,climate,Climate change a threat to country (next 20 yrs),L5,Climate Change a Threat to People in Country in Next 20 Years,WP20719,Climate Change a Threat to Country in Next 20 Years,WP20719,Climate Change a Threat to Country in Next 20 Years,WP20719 | WP24225,Climate Change a Threat to Country in Next 20 Years | Most Other People in (Country) View Climate Change as Threat to Country in Next 20 Years,WP20719,Climate Change a Threat to Country in Next 20 Years
,climate_other,Most others see climate as a threat,,,,,,,WP24225,Most Other People in (Country) View Climate Change as Threat to Country in Next 20 Years,,
,food,Worried food could cause serious harm,L6A,Worried Food You Eat Could Cause You Serious Harm,WP20720,Worried Food You Eat Could Cause Serious Harm,WP20720,Worried Food You Eat Could Cause Serious Harm,WP20720,Worried Food You Eat Could Cause Serious Harm,WP20720,Worried Food You Eat Could Cause Serious Harm
,water,Worried water could cause serious harm,L6B,Worried Water You Drink Could Cause You Serious Harm,WP20721,Worried Water You Drink Could Cause Serious Harm,WP20721,Worried Water You Drink Could Cause Serious Harm,WP20721,Worried Water You Drink Could Cause Serious Harm,WP20721,Worried Water You Drink Could Cause Serious Harm
,crime,Worried violent crime could cause serious harm,L6C,Worried Violent Crime Could Cause You Serious Harm,WP20722,Worried Violent Crime Could Cause Serious Harm,WP20722,Worried Violent Crime Could Cause Serious Harm,WP20722,Worried Violent Crime Could Cause Serious Harm,WP20722,Worried Violent Crime Could Cause Serious Harm
,weather,Worried severe weather could cause serious harm,L6D,Worried Severe Weather Events Could Cause You Serious Harm,WP20723,Worried Severe Weather Events Could Cause Serious Harm,WP20723,Worried Severe Weather Events Could Cause Serious Harm,WP20723,Worried Severe Weather Events Could Cause Serious Harm,WP20723,Worried Severe Weather Events Could Cause Serious Harm
,prolonged_weather,Worried prolonged severe weather could cause harm,,,,,,,WP24174,Worried Severe Prolonged Weather Events Could Cause Serious Harm,,
,wildfires,Worried wildfires could cause serious harm,,,,,,,WP24173,Worried Wildfires Could Cause Serious Harm,,
,air,Worried the air could cause serious harm,,,,,,,WP24175,Worried the Air You Breathe Could Cause Serious Harm,,
,mental_health,Worried mental health could cause serious harm,L6G,Worried Mental Health Issues Could Cause You Serious Harm,WP20726,Worried Mental Health Issues Could Cause Serious Harm,WP20726,Worried Mental Health Issues Could Cause Serious Harm,WP20726,Worried Mental Health Issues Could Cause Serious Harm,WP20726,Worried Mental Health Issues Could Cause Serious Harm
,traffic,Worried traffic could cause serious harm,,,WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm,WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm,WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm,WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm
,work,Worried the work you do could cause serious harm,,,WP22214,Worried The Work You Do Could Cause Serious Harm,WP22214,Worried The Work You Do Could Cause Serious Harm,WP22214,Worried The Work You Do Could Cause Serious Harm,WP22214,Worried The Work You Do Could Cause Serious Harm
,exp_food,Experienced harm: eating food,L8A,Experienced Serious Harm From Eating Food in Past Two Years,WP22442,Experienced Harm in Past Two Years: Eating Food,WP22442,Experienced Harm in Past Two Years: Eating Food (You/Someone You Know),WP22442,Experienced Harm in Past Two Years: Eating Food (You/Someone You Know),WP22442 | harm_food_trended,Experienced Harm in Past Two Years: Eating Food (You/Someone You Know) | Experienced Harm in Past Two Years: Food (recoded to trend)
,exp_water,Experienced harm: drinking water,L8B,Experienced Serious Harm From Drinking Water in Past Two Years,WP22443,Experienced Harm in Past Two Years: Drinking Water,WP22443,Experienced Harm in Past Two Years: Drinking Water (You/Someone You Know),WP22443,Experienced Harm in Past Two Years: Drinking Water (You/Someone You Know),WP22443 | harm_water_trended,Experienced Harm in Past Two Years: Drinking Water (You/Someone You Know) | Experienced Harm in Past Two Years: Drinking water (recoded to trend)
,exp_crime,Experienced harm: violent crime,L8C,Experienced Serious Harm From Violent Crime in Past Two Years,WP22444,Experienced Harm in Past Two Years: Violent Crime,WP22444,Experienced Harm in Past Two Years: Violent Crime (You/Someone You Know),WP22444,Experienced Harm in Past Two Years: Violent Crime (You/Someone You Know),WP22444 | harm_crime_trended,Experienced Harm in Past Two Years: Violent Crime (You/Someone You Know) | Experienced Harm in Past Two Years: Violent Crime (recoded to trend)
,exp_weather,Experienced harm: severe weather,L8D,Experienced Serious Harm From Severe Weather Events in Past Two Years,WP22445,Experienced Harm in Past Two Years: Severe Weather Events,WP22445,Experienced Harm in Past Two Years: Severe Weather Events (You/Someone You Know),WP22445,Experienced Harm in Past Two Years: Severe Weather Events (You/Someone You Know),WP22445 | harm_weather_trended,Experienced Harm in Past Two Years: Severe Weather Events (You/Someone You Know) | Experienced Harm in Past Two Years: Severe weather events (recoded to trend)
,exp_prolonged_weather,Experienced harm: prolonged severe weather,,,,,,,WP24177,Experienced Harm in Past Two Years: Severe Prolonged Weather Events (You/Someone You Know),,
,exp_wildfires,Experienced harm: wildfires,,,,,,,WP24176,Experienced Harm in Past Two Years: Wildfires (You/Someone You Know),,
,exp_air,Experienced harm: air,,,,,,,WP24178,Experienced Harm in Past Two Years: The Air You/They Breathe (You/Someone You Know),,
,exp_traffic,Experienced harm: traffic,,,WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident,WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident (You/Someone You Know),WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident (You/Someone You Know),WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident (You/Someone You Know)
,exp_mental_health,Experienced harm: mental health,L8G,Experienced Serious Harm From Mental Health Issues in Past Two Years,WP22447,Experienced Harm in Past Two Years: Mental Health Issues,WP22447,Experienced Harm in Past Two Years: Mental Health Issues (You/Someone You Know),WP22447,Experienced Harm in Past Two Years: Mental Health Issues (You/Someone You Know),WP22447 | harm_mental_health_trended,Experienced Harm in Past Two Years: Mental Health Issues (You/Someone You Know) | Experienced Harm in Past Two Years: Mental health issues (recoded to trend)
,exp_work,Experienced harm: work,L21A | L21B | L21C | L21D | L21E,Experienced Injury or Harm While Working in Past Two Years: Operating Equipment or Heavy Machinery | Experienced Injury or Harm While Working in Past Two Years: Fire | Experienced Injury or Harm While Working in Past Two Years: Exposure to Chemicals or Biological Substances | Experienced Injury or Harm While Working in Past Two Years: Physical Harassment or Violence | Experienced Injury or Harm While Working in Past Two Years: Tripping or Falling,WP22448 | WP22400 | WP22513 | WP22401 | WP22402 | WP22403 | WP22500 | WP22404 | WP22501 | WP22405 | WP22502 | WP22406 | WP22503 | WP22407 | WP22504 | WP22408 | WP22505 | WP22409 | WP22410 | WP22411 | WP22412 | WP22413 | WP22421 | WP22414 | WP22415 | WP22416 | WP22417 | WP22419 | WP22420 | WP22422 | WP22400_ALL | WP22403_ALL | WP22404_ALL | WP22405_ALL | WP22406_ALL | WP22407_ALL | WP22408_ALL,Experienced Harm in Past Two Years: Work | Ever Experienced Physical Violence/Harassment at Work | Ever Experienced Physical Violence/Harassment at Work (e.g. Hitting/Restraining) | How Many Times You Experienced Physical Violence/Harassment at Work | Last Time You Experienced Physical Violence/Harassment at Work | Ever Experienced Psychological Violence/Harassment at Work | Ever Experienced Someone Psychologically Hurting You at Work | How Many Times You Experienced Psychological Violence/Harassment at Work | How Many Times You Experienced Someone Psychologically Hurting You at Work | Last Time You Experienced Psychological Violence/Harassment at Work | Last Time You Experienced Someone Psychologically Hurting You at Work | Ever Experienced Sexual Violence/Harassment at Work | Ever Experienced Unwanted Intimate Physical Contact at Work | How Many Times You Experienced Sexual Violence/Harassment at Work | How Many Times You Experienced Unwanted Intimate Physical Contact at Work | Last Time You Experienced Sexual Violence/Harassment at Work | Last Time You Experienced Unwanted Intimate Physical Contact at Work | Told Someone About Violence/Harassment Experienced at Work | Told Your Employer or Supervisor About Violence/Harassment Experienced at Work | Told Co-worker About Violence/Harassment Experienced at Work | Told Friend or Family About Violence/Harassment Experienced at Work | Told a Trade Union Representative About Violence/Harassment Experienced at Work | Told Police/Community Leader/Labor Inspector About Violence/Harassment Experienced at Work | Told Social Services or Not-For-Profit Organization About Violence/Harassment Experienced at Work | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Thought it Was a Waste of Time | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: You Did Not Know What to Do | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Procedures at Work Were Unclear | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear of Punishment | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear for Your Reputation | Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Lack of Trust in Police/Community Leaders/Labor Inspectors | Ever Experienced Physical Violence/Harassment at Work (all countries) | Ever Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work | How Many Times You Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work | Last Time You Experienced Psychological Violence/Harassment (or Psychologically Hurting)  at Work | Ever Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work | How Many Times You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work | Last Time You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,WP22448 | WP23335,Experienced Harm in Past Two Years: Work (You/Someone You Know) | Told Someone About Harm Experienced at Work,WP22448,Experienced Harm in Past Two Years: Work (You/Someone You Know),WP22448 | WP23335,Experienced Harm in Past Two Years: Work (You/Someone You Know) | Told Someone About Harm Experienced at Work
,govt_cares,Government cares about your wellbeing,,,WP22231 | WP22525,Government of (Country) Cares About You and Your Wellbeing | Government of Myanmar Cares About You and Your Wellbeing,WP22231_ALL,Government of country cares about you and your wellbeing (combined version),WP22231 | WP22525,Government of (Country) Cares About You and Your Wellbeing | Government of Myanmar Cares About You and Your Wellbeing,WP22231_ALL | WP22231,Government of country cares about you and your wellbeing (combined version) | Government of (Country) Cares About You and Your Wellbeing
,authorities_care,Authorities care about your wellbeing,,,WP22469,Authorities of (Country) Care About You and Your Wellbeing,,,WP22469,Authorities of (Country) Care About You and Your Wellbeing,WP22469,Authorities of (Country) Care About You and Your Wellbeing
,neighbours_care,Neighbours care about your wellbeing,,,WP22232,Neighbors Care About You and Your Wellbeing,WP22232,Neighbors Care About You and Your Wellbeing,WP22232,Neighbors Care About You and Your Wellbeing,WP22232,Neighbors Care About You and Your Wellbeing
