slug,source_var,label,n_answers,non_missing_%,drop
climate,WP20719,Climate change a threat to country (next 20 yrs),5,100.0,
food,WP20720,Worried food could cause serious harm,5,100.0,
water,WP20721,Worried water could cause serious harm,5,100.0,
crime,WP20722,Worried violent crime could cause serious harm,5,100.0,
weather,WP20723,Worried severe weather could cause serious harm,5,100.0,
mental_health,WP20726,Worried mental health could cause serious harm,5,100.0,
traffic,WP22213,Worried traffic could cause serious harm,5,100.0,
work,WP22214,Worried work could cause serious harm,5,59.3,
exp_food,WP22442,Experienced harm: eating food,6,100.0,
exp_water,WP22443,Experienced harm: drinking water,6,100.0,
exp_crime,WP22444,Experienced harm: violent crime,6,100.0,
exp_weather,WP22445,Experienced harm: severe weather,6,100.0,
exp_traffic,WP22446,Experienced harm: traffic,6,100.0,
exp_mental_health,WP22447,Experienced harm: mental health,6,100.0,
exp_work,WP22448,Experienced harm: work,6,100.0,
neighbours_care,WP22232,Neighbours care about your wellbeing,5,100.0,
plan_known,WP23345,Household disaster plan known by all members,4,100.0,
could_protect,WP22252,Could protect self/family in a future disaster,5,100.0,
fin_res,WP22228,Cover basic needs a month+ if income lost,4,100.0,
disc_skin,WP22259,Experienced discrimination: skin colour,5,97.9,
disc_religion,WP22260,Experienced discrimination: religion,5,96.6,
disc_nationality,WP22261,Experienced discrimination: nationality / ethnicity,5,96.6,
disc_gender,WP22262,Experienced discrimination: gender,5,97.9,
disc_disability,WP22263,Experienced discrimination: disability,5,97.9,
greatest,WP22331,Greatest source of risk to daily safety,25,100.0,
safer_5yr,WP20711,Feel safer than five years ago,5,100.0,
resilience_index,resilience_index,Resilience Index (0–100),0,99.2,
wp23335,WP23335,Told Someone About Harm Experienced at Work,5,9.7,
wp23336,WP23336,Last Time Employed or Self-Employed,6,100.0,
wp23337,WP23337,Received Health or Safety Training About Your Work,4,83.8,
wp23338,WP23338,Received Health or Safety Training About Your Work in Past Two Years,4,28.4,
wp23341,WP23341,Most Common Type of Material in Household Waste,10,100.0,
wp23342,WP23342,Household Waste Is Separated,5,100.0,
wp23343,WP23343,What Happens to Household Waste Once Taken Outside of Home,9,100.0,
wp22229,WP22229,Household Could Cover Basic Needs If Income Was Lost: Weeks,5,32.8,
wp22231_all,WP22231_ALL,Government of country cares about you and your wellbeing (combined version),4,95.9,
wp23344,WP23344,Experienced a Disaster in Past Five Years in This Country,4,100.0,
wp22247,WP22247,Type of Disaster Experienced in Past Five Years (Coded),16,28.4,
wp22248,WP22248,Received Warning About Disaster From Internet/Social Media,5,28.4,
wp22249,WP22249,Received Warning About Disaster From Local Government or Police,5,27.7,
wp22250,WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers",5,28.4,
wp22251,WP22251,Received Warning About Disaster From Local Community Organization,5,28.4,
wp23340,WP23340,Job Sector (Coded),13,100.0,
