variable,label_2025_or_trended,in_2019,in_2021,in_2023,in_2025,in_trended,trended_nm_2019,trended_nm_2021,trended_nm_2023,in_2025_catalogue
Age,Age,0,1,1,0,1,100,100,100,0
AgeGroups,Age cohort (4 group),1,0,0,0,0,,,,0
AgeGroups3,Age - 3 categories,0,0,1,0,1,100,100,100,0
AgeGroups4,Age cohort (4 group),0,1,0,0,0,,,,0
AgeGroups5,Age - 5 categories,0,0,1,0,1,100,100,100,0
COUNTRYNEW,Country Name,0,0,0,1,0,,,,1
COUNTRY_ISO2,Country ISO alpha-2 code,0,0,1,1,1,100,100,100,0
COUNTRY_ISO3,Country ISO alpha-3 code,0,0,1,1,1,100,100,100,1
ChildrenInHousehold,Children Under 15,1,1,0,0,1,100,100,100,0
Country,Country Name,0,1,1,0,1,100,100,100,0
CountryIncomeLevel2019,World Bank Country Income Classification corresponding to 2019 data,0,1,0,0,0,,,,0
CountryIncomeLevel2021,World Bank Country Income Classification corresponding to 2021 data,0,1,0,0,0,,,,0
CountryIncomeLevel2023,World Bank Income Categories (2023-24 definiton),0,0,1,0,1,100,100,100,0
DEGURBA,Degree of Urbanisation,0,0,0,1,0,,,,1
EMP8B,Primary Occupation/Job Title (Coded Response),1,0,0,0,0,,,,0
EMP_2010,Employment Status,1,1,1,1,1,100,97,100,1
EMP_FTEMP,Employed Full Time for an Employer Index (workforce),1,0,0,0,0,,,,0
EMP_FTEMP_POP,Payroll to Population Index (P2P),1,0,0,0,0,,,,0
EMP_LFPR,Labor Force Participation Index,1,0,0,0,0,,,,0
EMP_UNDER,Underemployment Index,1,0,0,0,0,,,,0
EMP_UNEMP,Unemployment Index,1,0,0,0,0,,,,0
EMP_WORK_HOURS,Total Number of Hours Work Per Week,1,0,0,0,0,,,,0
Education,Education Level,1,1,1,0,1,100,100,100,0
Experienced.Index,Experienced Index,1,0,0,0,0,,,,0
FIELD_DATE,Study Completion Date,1,0,0,1,0,,,,0
Gender,Gender,0,1,1,0,1,100,100,100,0
GlobalRegion,Global region respondent lives in,0,1,1,0,1,100,100,100,0
HHSIZE,Total Number Living in Household for Per Capita Income,0,0,0,1,0,,,,0
HHWEIGHT2,hhweight2,0,0,0,1,0,,,,0
HouseholdSize,Household SIze,1,1,0,0,1,100,100,100,0
INCOME_5,Per Capita Income Quintiles,1,1,1,1,1,99,100,100,1
IncomeFeelings,Feelings About Household Income,1,1,0,0,0,,,,0
L1,"When Hear The Word Risk, Think More About Opportunity or Danger",1,0,0,0,0,,,,0
L10,Wear a Seatbelt in a Motorized Vehicle When One is Available,1,0,0,0,0,,,,0
L11,Able to Swim Without Assistance,1,0,0,0,0,,,,0
L12,"10% is Bigger, Smaller or the Same as 1 out of 10",1,0,0,0,0,,,,0
L13A,Look to Friends or Family for Food Safety Information,1,0,0,0,0,,,,0
L13B,Look to Medical Professionals for Food Safety Information,1,0,0,0,0,,,,0
L13C,"Look to Newspapers, Television, or Radio for Food Safety Information",1,0,0,0,0,,,,0
L13D,Look to Internet/Social Media for Food Safety Information,1,0,0,0,0,,,,0
L13E,Look to (Food Safety Authority) for Food Safety Information,1,0,0,0,0,,,,0
L13F,Look to Packaging or Label on Food for Food Safety Information,1,0,0,0,0,,,,0
L13G,Look to a Famous Person for Food Safety Information,1,0,0,0,0,,,,0
L13H,Look to Local Religious Leaders for Food Safety Information,1,0,0,0,0,,,,0
L14,Trust Most to Provide Information About Food Safety,1,0,0,0,0,,,,0
L15,Government Should Require Businesses to Adopt Safety Procedures and Rules,1,0,0,0,0,,,,0
L16A,Government Does a Good Job Ensuring the Food You Buy is Safe,1,0,0,0,0,,,,0
L16B,Government Does a Good Job Ensuring the Water You Drink is Safe,1,0,0,0,0,,,,0
L16C,Government Does a Good Job Ensuring the Powerlines in the City or Area Where You Live are Safe,1,0,0,0,0,,,,0
L17A,How Likely a Neighbor Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L17B,How Likely a Stranger Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L17C,How Likely the Police Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L18,How Likely to be Injured While Working in Next Two Years,1,0,0,0,0,,,,0
L19,Ever Been Seriously Injured While Working,1,0,0,0,0,,,,0
L2,"Feel More Safe, Less Safe or About as Safe Compared to Five Years Ago",1,0,0,0,0,,,,0
L20A,Risk to Personal Safety While Working: Operating Equipment or Heavy Machinery,1,0,0,0,0,,,,0
L20B,Risk to Personal Safety While Working: Fire,1,0,0,0,0,,,,0
L20C,Risk to Personal Safety While Working: Exposure to Chemical or Biological Substances,1,0,0,0,0,,,,0
L20D,Risk to Personal Safety While Working: Physical Harassment or Violence,1,0,0,0,0,,,,0
L20E,Risk to Personal Safety While Working: Tripping or Falling,1,0,0,0,0,,,,0
L21A,Experienced Injury or Harm While Working in Past Two Years: Operating Equipment or Heavy Machinery,1,0,0,0,0,,,,0
L21B,Experienced Injury or Harm While Working in Past Two Years: Fire,1,0,0,0,0,,,,0
L21C,Experienced Injury or Harm While Working in Past Two Years: Exposure to Chemicals or Biological Substances,1,0,0,0,0,,,,0
L21D,Experienced Injury or Harm While Working in Past Two Years: Physical Harassment or Violence,1,0,0,0,0,,,,0
L21E,Experienced Injury or Harm While Working in Past Two Years: Tripping or Falling,1,0,0,0,0,,,,0
L22,Free To Report Safety Problems To Employer Without Fear of Punishment,1,0,0,0,0,,,,0
L23,Who is Most Responsible for Your Safety While Working Other Than Yourself,1,0,0,0,0,,,,0
L24A,Care About Your Safety While Working: Your Co-workers,1,0,0,0,0,,,,0
L24B,Care About Your Safety While Working: Your Boss or Supervisor,1,0,0,0,0,,,,0
L24C,Care About Your Safety While Working: The Trade or Labour Union,1,0,0,0,0,,,,0
L25,Safety Rules at Work Are Good or Make Job More Difficult,1,0,0,0,0,,,,0
L26,"Used Internet, Including Social Media, in Past 30 Days",1,0,0,0,0,,,,0
L27A,Worry When Using the Internet or Social Media: Online Bullying,1,0,0,0,0,,,,0
L27B,Worry When Using the Internet or Social Media: Receiving False Information,1,0,0,0,0,,,,0
L27C,Worry When Using the Internet or Social Media: Fraud,1,0,0,0,0,,,,0
L3_A,Greatest Source of Risk to Safety in Your Daily Life (Coded Response),1,0,0,0,0,,,,0
L3_B,Another Major Source of Risk to Safety In Your Daily Life (Coded Response),1,0,0,0,0,,,,0
L4A,Help or Harm People in Country in Next 20 Years: Genetically-Modified Food,1,0,0,0,0,,,,0
L4B,Help or Harm People in Country in Next 20 Years: Use of Nuclear Power for Electricity,1,0,0,0,0,,,,0
L4C,Help or Harm People in Country in Next 20 Years: Artificial Intelligence,1,0,0,0,0,,,,0
L5,Climate Change a Threat to People in Country in Next 20 Years,1,0,0,0,0,,,,0
L6A,Worried Food You Eat Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6B,Worried Water You Drink Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6C,Worried Violent Crime Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6D,Worried Severe Weather Events Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6E,Worried Electrical Power Lines Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6F,Worked Household Appliances Could Cause You Serious Harm,1,0,0,0,0,,,,0
